algorithm,input_size_bytes,input_size_MB,mean_encryption_time_seconds,median_encryption_time_seconds,std_encryption_time_seconds,var_encryption_time_seconds,q1_encryption_time_seconds,q3_encryption_time_seconds,min_encryption_time_seconds,max_encryption_time_seconds,mean_decryption_time_seconds,median_decryption_time_seconds,std_decryption_time_seconds,var_decryption_time_seconds,q1_decryption_time_seconds,q3_decryption_time_seconds,min_decryption_time_seconds,max_decryption_time_seconds,mean_encryption_throughput_MBps,mean_decryption_throughput_MBps,mean_encryption_ns_per_byte,mean_decryption_ns_per_byte,mean_ciphertext_expansion_ratio,encryption_coefficient_of_variation,decryption_coefficient_of_variation,num_trials,encryption_95ci_seconds,decryption_95ci_seconds,encryption_iqr_seconds,decryption_iqr_seconds,aes_mean_encryption_time_seconds,aes_mean_decryption_time_seconds,encryption_time_ratio_vs_aes,decryption_time_ratio_vs_aes
3DES,1024,0.0009765625,0.03983599910279731,0.039861177501734305,0.00015054352917590782,2.266335417673741e-08,0.03971514400473095,0.039948950754478504,0.0395950759993866,0.0400440830271691,0.0397314457921311,0.039736283491947647,0.0001875916031042468,3.5190609555221254e-08,0.03962206097639863,0.03987404375220645,0.0393767280038446,0.0400078449747525,0.024514888023635207,0.024579576705343227,38902.3428738255,38800.24003137803,1.0078125,0.0037790825526285484,0.004721489474249128,10,9.330784608239245e-05,0.00011627048020341963,0.00023380674974755183,0.0002519827758078186,0.012592545300140002,0.022878464704262972,3.163458868188818,1.7366307707146054
3DES,4096,0.00390625,0.1628807628934737,0.16323441649728915,0.002046107715469289,4.1865567833029535e-06,0.16133062075095947,0.16361208324087778,0.1601015839842148,0.1667952169955242,0.16182956749689761,0.16284347749024158,0.0018081488927907117,3.269402418500277e-06,0.16108565898321098,0.16302910850208718,0.1575097200111486,0.1631237700057681,0.023985664176968565,0.024140804355665135,39765.811253289474,39509.171752172275,1.001953125,0.012561997372319972,0.011173167677318145,10,0.0012681907009096315,0.0011207022945863303,0.0022814624899183122,0.0019434495188762058,0.05044806570222132,0.09106877029407764,3.228682024300126,1.7770039825323265
3DES,16384,0.015625,0.6536791409977013,0.6510082610038808,0.007603368500653651,5.7811212556732136e-05,0.6491619554799399,0.6569709257528302,0.6440740109828766,0.6702156329993159,0.652049619294121,0.6526808624912519,0.004743197521867597,2.2497922731450918e-05,0.6488107499899343,0.6537026855148724,0.6457628599891905,0.659766212978866,0.023906044560973765,0.02396403996074242,39897.408508160486,39797.95039636969,1.00048828125,0.011631652325709424,0.00727428922817617,10,0.004712616620922417,0.002939864281988912,0.007808970272890292,0.004891935524938162,0.1966537197004072,0.3537844998994842,3.3240110687636677,1.84307005954014
3DES,65536,0.0625,2.6043167184019693,2.606706356498762,0.026418696693120056,0.0006979475349630725,2.58067469325033,2.622628784760309,2.5676358259806875,2.6435786380025093,2.59897799770406,2.593481576492195,0.034202992508750994,0.0011698446965536765,2.5706752745172707,2.6195057760123746,2.5601509849948343,2.669672546995571,0.02400083975349527,0.024051627546539736,39738.71945803786,39657.25704504486,1.0001220703125,0.010144195022996585,0.013160170089537486,10,0.016374477855229885,0.021199234387780617,0.04195409150997875,0.04883050149510382,0.7860115680960007,1.4126527671003715,3.3133312843099114,1.8397854435515348
AES,1024,0.0009765625,0.012592545300140002,0.0124654934916179,0.00028843397120420744,8.319415574462958e-08,0.012428164001903424,0.012771511494065624,0.012231883010827,0.0130493270116858,0.022878464704262972,0.022795143508119453,0.0004785916204892203,2.2904993920249783e-07,0.022540192490851,0.0231282419917988,0.0222398879996035,0.023838509019697,0.07758708784456794,0.0427013982909356,12297.407519667968,22342.25068775681,1.015625,0.022905136676458944,0.020918869630270415,10,0.00017877322750025208,0.00029663415960410147,0.0003433474921622007,0.0005880495009478008,0.012592545300140002,0.022878464704262972,1.0,1.0
AES,4096,0.00390625,0.05044806570222132,0.050191112502943655,0.0007167468296089406,5.137260177544677e-07,0.0497831342509016,0.051180001246393624,0.0496899429999757,0.0514097610139288,0.09106877029407764,0.09082110349845601,0.001240784515317076,1.5395462134506313e-06,0.08996324373583772,0.0919080277308239,0.0897533120005391,0.0931564990023616,0.07744514148981971,0.042900532864113695,12316.422290581377,22233.586497577548,1.00390625,0.014207617668428879,0.013624698250677558,10,0.00044424428750469746,0.0007690462101585279,0.0013968669954920257,0.0019447839949861823,0.05044806570222132,0.09106877029407764,1.0,1.0
AES,16384,0.015625,0.1966537197004072,0.19455387949710712,0.005457208463118808,2.9781124209935538e-05,0.1927647527627414,0.20109095375664757,0.1909915359865408,0.2059120429912582,0.3537844998994842,0.3499492525152163,0.010389005710705624,0.00010793143965707409,0.34730228023545345,0.35440986100002186,0.3430693160044029,0.3733362030179705,0.07950843701983466,0.044198560615555375,12002.790509058057,21593.292230193125,1.0009765625,0.027750344470639107,0.02936535013166859,10,0.0033824128483212743,0.006439172451383917,0.008326200993906158,0.007107580764568411,0.1966537197004072,0.3537844998994842,1.0,1.0
AES,65536,0.0625,0.7860115680960007,0.7849473144888179,0.023071190814920987,0.0005322798456184945,0.7764177147473674,0.7923571364954114,0.7470827309880406,0.8374186799919698,1.4126527671003715,1.4053635985037545,0.03129984765171051,0.000979680463020288,1.3885830275030455,1.4288589077477807,1.3807379429927096,1.4797835749923252,0.07957602685724266,0.04426220940334221,11993.584718261729,21555.370591741506,1.000244140625,0.02935222807319186,0.022156787839630942,10,0.014299672216271282,0.01939984656315286,0.01593942174804397,0.04027588024473516,0.7860115680960007,1.4126527671003715,1.0,1.0
DES,1024,0.0009765625,0.01378192850097543,0.013899457509978601,0.00032127792008268313,1.0321950193265491e-07,0.01348718623921735,0.014066258743696375,0.0133386169909499,0.0141310250037349,0.013745708906208121,0.01388775600935325,0.0003139589477125712,9.857022084878504e-08,0.0134167374999378,0.0139678929990623,0.0133249210193753,0.0140984540048521,0.07089309973336566,0.07107848021603015,13458.914551733818,13423.543853718866,1.0078125,0.023311535831864485,0.022840506070281655,10,0.00019913011791903483,0.0001945937718460415,0.0005790725044790244,0.0005511554991245015,0.012592545300140002,0.022878464704262972,1.0944513736092898,0.600814306549463
DES,4096,0.00390625,0.056156252804794304,0.05559208549675525,0.001486746545680478,2.2104152910928337e-06,0.055176976246002554,0.0569096280087251,0.0547166480100713,0.0594764249981381,0.05563363299588668,0.055460680494434145,0.0008792881122814515,7.731475843994784e-07,0.054914566753723124,0.05629410748224467,0.0544313059945125,0.056876785994973,0.06960304736680062,0.07022955714823427,13710.022657420483,13582.429930636397,1.001953125,0.026475173670304938,0.01580497380687798,10,0.0009214950559966248,0.0005449884182465749,0.0017326517627225466,0.0013795407285215472,0.05044806570222132,0.09106877029407764,1.1131497714157481,0.61089693883244
